segment_name,count,avg_recency,avg_frequency,avg_monetary,avg_return_rate,avg_rating,avg_tickets,avg_neg_ticket_rate,avg_engagement,avg_support_score,avg_discount_dep,churn_rate,pct_of_customers
At-Risk Customers,649,127.402,1.479,1098.229,0.059,3.943,0.052,0.035,0.148,0.026,0.278,0.761,27.0
Champions,401,20.466,3.137,2426.321,0.083,3.881,0.501,0.294,0.233,0.23,0.277,0.102,16.7
Loyal Customers,339,52.835,2.478,1706.658,0.062,3.822,0.348,0.203,0.194,0.16,0.279,0.236,14.1
Potential Loyalists,280,43.693,1.125,881.461,0.039,3.957,0.225,0.141,0.203,0.108,0.258,0.375,11.7
New Customers,265,19.43,1.0,752.234,0.102,3.97,0.275,0.185,0.2,0.138,0.286,0.219,11.0
Lost Customers,228,268.206,0.0,0.0,0.0,3.5,0.0,0.0,0.094,0.0,0.0,0.917,9.5
Other,146,126.034,0.493,243.899,0.027,3.644,0.151,0.075,0.148,0.063,0.144,0.705,6.1
Discount-Sensitive Customers,59,40.373,1.186,443.625,0.042,3.997,0.271,0.11,0.152,0.1,0.438,0.39,2.5
High-Value but Unhappy,33,47.97,1.424,1795.002,0.318,2.909,0.697,0.545,0.223,0.389,0.211,0.424,1.4
